open_port_count,has_port_22,has_port_2222,has_port_21,has_port_23,has_port_80,has_port_443,has_port_502,has_port_1433,has_port_3306,banner_count,avg_banner_length,max_banner_entropy,contains_cowrie_keyword,contains_dionaea_keyword,contains_generic_ssh,contains_conpot_keyword,avg_latency_ms,latency_std_dev,multi_service_legacy_ratio,is_honeypot
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,76.81875,21.770943,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,48.870033,18.573603,0.0,0
5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,28.0,4.2439427,0.0,1.0,0.0,0.0,2.2674742,0.5736537,0.8,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.5110855,0.0,0.0,0.0,0.0,60.356865,0.0,0.0,0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.666666,4.209867,0.0,1.0,0.0,0.0,1.7332609,0.9581212,1.0,1
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,85.28354,23.716953,0.0,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,4.3988576,0.0,0.0,0.0,0.0,36.546093,3.068336,0.0,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,4.669485,0.0,0.0,0.0,0.0,73.04504,0.27914864,0.5,0
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.5,4.015061,0.0,0.0,0.0,0.0,3.750904,0.47399145,0.0,1
5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,28.666666,4.2439427,0.0,1.0,0.0,0.0,2.21798,0.6324367,0.8,1
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.5,4.015061,0.0,0.0,0.0,0.0,4.395713,1.0676188,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.5110855,0.0,0.0,0.0,0.0,54.456963,0.0,0.0,0
2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,47.5,4.778678,0.0,0.0,0.0,0.0,47.199287,15.911368,0.0,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,4.669485,0.0,0.0,0.0,0.0,56.276764,6.495169,0.5,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,77.67467,31.30687,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,95.60662,31.567822,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,49.081413,2.8823247,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,97.82571,10.9611025,0.0,0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,53.333332,4.567343,0.0,0.0,0.0,1.0,8.247953,2.9741964,0.33333334,1
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,4.3988576,0.0,0.0,0.0,0.0,45.84189,1.1668836,0.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,4.164498,1.0,0.0,0.0,0.0,2.6852508,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.5110855,0.0,0.0,0.0,0.0,89.75767,0.0,0.0,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,4.3988576,0.0,0.0,0.0,0.0,47.66435,7.7187943,0.0,0
5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,28.0,4.2439427,0.0,1.0,0.0,0.0,2.1396818,0.7188337,0.8,1
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,45.0,4.669485,0.0,0.0,0.0,0.0,53.39837,20.502111,0.5,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,76.82095,33.063446,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,4.165838,0.0,0.0,0.0,0.0,66.66043,0.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.5110855,0.0,0.0,0.0,0.0,80.31591,0.0,0.0,0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,42.5,4.509495,0.0,0.0,0.0,0.0,71.12569,8.631783,0.5,0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,43.0,4.9019876,0.0,0.0,0.0,0.0,4.4233274,0.55984646,0.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,4.164498,1.0,0.0,0.0,0.0,2.5355163,0.0,0.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,4.164498,1.0,0.0,0.0,0.0,1.7649319,0.0,0.0,1
3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.666666,4.282484,1.0,0.0,0.0,0.0,3.4170718,0.47242528,0.33333334,1
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,81.17777,10.636489,0.0,0
4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,29.0,3.8538632,0.0,0.0,0.0,0.0,2.6632323,0.905254,0.75,1
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,3.8538632,0.0,0.0,0.0,0.0,2.004437,0.31680882,0.5,1
3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,28.666666,4.182006,1.0,0.0,0.0,0.0,3.4359624,1.0770664,0.33333334,1
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.5,4.282484,1.0,0.0,0.0,0.0,3.497488,0.1686248,0.0,1
2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,84.399315,34.205025,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,102.78602,22.261396,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,53.666668,4.749128,0.0,0.0,0.0,0.0,92.07452,39.0492,0.0,0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,70.0,5.04289,0.0,0.0,0.0,0.0,70.80007,33.714325,0.0,0
